len, count(ihgpwlah)
    6, 1
   14, 2
   18, 2
   22, 2
   24, 1
   28, 3
   30, 1
   32, 2
   34, 2
   36, 2
   38, 2
   42, 4
   44, 1
   46, 3
   48, 5
   50, 7
   52, 2
   54, 4
   56, 6
   58, 4
   60, 1
   62, 2
   64, 4
   66, 1
   68, 4
   70, 8
   72, 9
   74, 5
   76, 7
   78, 6
   80, 4
   82, 5
   84, 4
   86, 3
   88, 3
   90, 4
   92, 5
   94, 1
   96, 3
   98, 2
  100, 2
  102, 4
  104, 6
  106, 4
  108, 1
  110, 7
  112, 4
  114, 4
  116, 1
  118, 5
  120, 8
  122, 6
  126, 8
  128, 13
  130, 10
  132, 4
  134, 9
  136, 4
  138, 7
  140, 7
  142, 6
  144, 2
  146, 7
  148, 2
  150, 6
  152, 5
  154, 10
  156, 16
  158, 8
  160, 7
  162, 8
  164, 16
  166, 3
  168, 6
  170, 7
  172, 12
  174, 13
  176, 12
  178, 13
  180, 10
  182, 3
  184, 4
  186, 6
  188, 10
  190, 6
  192, 6
  194, 7
  196, 9
  198, 16
  200, 10
  202, 14
  204, 13
  206, 13
  208, 13
  210, 16
  212, 14
  214, 9
  216, 13
  218, 9
  220, 11
  222, 16
  224, 18
  226, 10
  228, 15
  230, 13
  232, 16
  234, 12
  236, 12
  238, 15
  240, 7
  242, 11
  244, 12
  246, 18
  248, 13
  250, 11
  252, 8
  254, 12
  256, 13
  258, 11
  260, 10
  262, 7
  264, 11
  266, 7
  268, 8
  270, 8
  272, 6
  274, 4
  276, 6
  278, 5
  280, 6
  282, 3
  284, 3
  286, 6
  288, 9
  290, 5
  292, 2
  294, 2
  296, 1
  298, 5
  300, 4
  302, 1
  304, 2
  306, 1
  308, 2
  310, 3
  312, 2
  314, 1
  316, 1
  318, 2
  320, 3
  324, 4
  328, 1
  332, 2
  336, 1
  338, 3
  344, 3
  348, 2
  350, 2
  352, 1
  354, 1
  356, 1
  360, 2
  366, 2
  370, 2
