len, count(kglvqrro)
   12, 1
   14, 3
   16, 2
   18, 3
   22, 2
   24, 3
   26, 3
   28, 5
   30, 1
   32, 4
   34, 3
   36, 2
   38, 3
   40, 3
   42, 2
   44, 1
   46, 2
   50, 1
   52, 2
   54, 5
   56, 4
   58, 4
   60, 4
   62, 4
   64, 4
   68, 1
   70, 1
   80, 1
   82, 1
   84, 1
   86, 1
   88, 2
   90, 1
   92, 3
   94, 3
   96, 5
   98, 5
  100, 2
  102, 7
  104, 4
  106, 3
  110, 1
  114, 1
  116, 2
  118, 5
  120, 4
  122, 3
  124, 6
  126, 5
  128, 3
  130, 9
  132, 8
  134, 7
  136, 8
  138, 12
  140, 6
  142, 5
  144, 12
  146, 11
  148, 10
  150, 14
  152, 9
  154, 14
  156, 10
  158, 13
  160, 10
  162, 9
  164, 13
  166, 9
  168, 10
  170, 15
  172, 12
  174, 12
  176, 11
  178, 16
  180, 12
  182, 14
  184, 10
  186, 14
  188, 7
  190, 13
  192, 11
  194, 11
  196, 10
  198, 11
  200, 8
  202, 13
  204, 14
  206, 5
  208, 14
  210, 16
  212, 13
  214, 10
  216, 14
  218, 15
  220, 15
  222, 12
  224, 18
  226, 8
  228, 13
  230, 9
  232, 11
  234, 16
  236, 9
  238, 13
  240, 12
  242, 5
  244, 15
  246, 9
  248, 8
  250, 17
  252, 16
  254, 13
  256, 17
  258, 9
  260, 9
  262, 7
  264, 6
  266, 12
  268, 11
  270, 6
  272, 7
  274, 2
  276, 3
  278, 5
  280, 6
  282, 4
  284, 6
  286, 5
  288, 8
  290, 8
  292, 13
  294, 7
  296, 10
  298, 7
  300, 6
  302, 9
  304, 8
  306, 7
  308, 5
  310, 15
  312, 10
  314, 2
  316, 6
  318, 10
  320, 15
  322, 13
  324, 13
  326, 13
  328, 11
  330, 12
  332, 8
  334, 9
  336, 9
  338, 11
  340, 7
  342, 7
  344, 5
  346, 6
  348, 6
  350, 7
  352, 7
  354, 3
  356, 8
  358, 2
  360, 7
  362, 5
  364, 1
  366, 4
  370, 3
  374, 2
  376, 6
  378, 3
  380, 3
  382, 5
  384, 1
  386, 1
  388, 10
  390, 5
  392, 6
  394, 3
  396, 2
  398, 6
  400, 2
  402, 4
  404, 6
  406, 4
  408, 6
  410, 3
  412, 3
  414, 3
  416, 7
  418, 4
  420, 7
  422, 8
  424, 5
  426, 8
  428, 5
  430, 3
  432, 5
  436, 8
  438, 4
  440, 7
  442, 3
  444, 7
  446, 4
  448, 8
  450, 3
  452, 3
  454, 4
  456, 5
  458, 7
  460, 2
  462, 4
  464, 1
  466, 2
  468, 7
  470, 1
  472, 2
  476, 1
  482, 2
  484, 1
  488, 1
  492, 1
