len, count(ulqzkmiv)
   30, 1
   36, 6
   40, 1
   42, 1
   44, 2
   46, 1
   48, 2
   50, 2
   54, 2
   56, 1
   60, 1
   62, 2
   64, 3
   66, 1
   68, 1
   70, 3
   72, 3
   76, 2
   78, 2
   80, 2
   82, 3
   84, 1
   86, 1
   88, 2
   90, 2
   92, 5
   96, 1
  104, 1
  106, 1
  114, 2
  134, 1
  136, 1
  138, 1
  140, 1
  142, 1
  144, 1
  148, 2
  150, 2
  152, 3
  154, 2
  156, 5
  158, 3
  160, 2
  162, 3
  166, 2
  168, 2
  170, 1
  172, 3
  178, 2
  180, 1
  184, 1
  188, 1
  190, 2
  192, 1
  194, 1
  198, 2
  200, 4
  202, 3
  204, 2
  206, 8
  210, 2
  212, 2
  214, 1
  216, 2
  220, 7
  222, 8
  224, 2
  226, 5
  228, 5
  230, 5
  232, 9
  234, 2
  236, 8
  238, 9
  240, 5
  242, 10
  244, 5
  246, 9
  248, 7
  250, 6
  252, 7
  254, 7
  256, 11
  258, 8
  260, 7
  262, 11
  264, 15
  266, 4
  268, 12
  270, 11
  272, 14
  274, 7
  276, 11
  278, 9
  280, 9
  282, 9
  284, 9
  286, 12
  288, 11
  290, 13
  292, 3
  294, 10
  296, 11
  298, 7
  300, 13
  302, 14
  304, 9
  306, 11
  308, 12
  310, 9
  312, 8
  314, 9
  316, 9
  318, 7
  320, 6
  322, 9
  324, 2
  326, 8
  328, 6
  330, 6
  332, 6
  334, 10
  336, 10
  338, 10
  340, 8
  342, 8
  344, 8
  346, 9
  348, 7
  350, 9
  352, 6
  354, 8
  356, 15
  358, 4
  360, 13
  362, 12
  364, 9
  366, 13
  368, 14
  370, 13
  372, 10
  374, 6
  376, 9
  378, 9
  380, 8
  382, 5
  384, 13
  386, 12
  388, 11
  390, 10
  392, 13
  394, 12
  396, 10
  398, 10
  400, 7
  402, 8
  404, 4
  406, 10
  408, 7
  410, 4
  412, 1
  414, 6
  416, 5
  418, 6
  420, 6
  422, 8
  424, 6
  426, 11
  428, 7
  430, 11
  432, 5
  434, 10
  436, 5
  438, 5
  440, 7
  442, 4
  444, 4
  446, 4
  448, 6
  450, 3
  452, 4
  454, 4
  456, 3
  458, 6
  460, 2
  462, 1
  464, 2
  466, 3
  468, 2
  470, 3
  472, 2
  474, 4
  476, 2
  478, 5
  480, 1
  484, 2
  486, 3
  488, 2
  490, 1
  492, 2
  494, 3
  496, 7
  498, 3
  500, 1
  502, 3
  504, 4
  506, 3
  508, 3
  510, 5
  512, 4
  514, 5
  516, 5
  518, 4
  520, 3
  522, 3
  524, 3
  526, 5
  528, 2
  530, 3
  532, 2
  534, 1
  536, 1
  538, 2
  544, 2
  546, 4
  548, 6
  550, 2
  552, 1
  554, 3
  558, 1
  560, 3
  562, 2
  564, 2
  566, 1
  568, 3
  570, 3
  572, 3
  574, 5
  576, 2
  578, 3
  582, 2
  584, 3
  586, 5
  588, 3
  590, 3
  594, 2
  598, 3
  600, 1
  602, 2
  604, 1
  606, 1
  608, 1
  610, 2
  612, 1
  614, 5
  618, 1
  620, 1
  622, 1
  624, 1
  626, 2
  628, 6
  630, 3
  632, 1
  634, 5
  636, 1
  638, 2
  640, 1
  642, 3
  644, 2
  646, 4
  648, 3
  650, 3
  652, 6
  654, 2
  656, 2
  658, 5
  660, 4
  662, 2
  664, 3
  668, 3
  672, 4
  674, 1
  676, 2
  678, 1
  680, 1
  682, 2
  684, 2
  688, 2
  690, 2
  692, 2
  694, 2
  696, 1
  698, 2
  700, 1
  702, 1
  706, 5
  708, 4
  710, 2
  712, 2
  714, 3
  718, 1
  720, 3
  722, 4
  724, 2
  726, 2
  728, 7
  730, 3
  732, 1
  734, 3
  736, 3
  740, 2
  742, 3
  744, 3
  746, 2
  748, 2
  750, 2
  766, 2
  768, 1
  770, 1
  786, 1
  788, 1
  796, 1
  798, 1
  800, 1
  812, 1
  820, 1
  822, 1
  824, 1
  830, 1
