len, count(veumntbg)
   10, 1
   16, 1
   28, 2
   34, 1
   36, 1
   38, 1
   44, 1
   46, 2
   48, 2
   50, 2
   52, 2
   54, 3
   58, 2
   60, 2
   62, 2
   64, 3
   66, 6
   68, 3
   70, 1
   72, 5
   74, 1
   76, 2
   78, 3
   80, 3
   82, 1
   84, 2
   86, 4
   88, 5
   90, 8
   92, 5
   94, 7
   96, 10
   98, 6
  100, 6
  102, 9
  104, 2
  106, 5
  108, 8
  110, 5
  112, 8
  114, 8
  116, 5
  118, 3
  120, 8
  122, 12
  124, 10
  126, 13
  128, 9
  130, 8
  132, 8
  134, 10
  136, 7
  138, 6
  140, 8
  142, 8
  144, 7
  146, 5
  148, 7
  150, 9
  152, 3
  154, 8
  156, 7
  158, 13
  160, 14
  162, 12
  164, 11
  166, 9
  168, 10
  170, 10
  172, 10
  174, 11
  176, 9
  178, 7
  180, 8
  182, 11
  184, 8
  186, 7
  188, 8
  190, 10
  192, 9
  194, 9
  196, 10
  198, 17
  200, 14
  202, 8
  204, 8
  206, 7
  208, 6
  210, 8
  212, 7
  214, 3
  216, 8
  218, 9
  220, 12
  222, 8
  224, 4
  226, 7
  228, 4
  230, 6
  232, 6
  234, 9
  236, 9
  238, 9
  240, 5
  242, 4
  244, 5
  246, 4
  248, 1
  250, 6
  252, 5
  254, 4
  256, 5
  258, 5
  260, 3
  262, 2
  264, 2
  266, 4
  268, 3
  270, 3
  272, 3
  276, 1
  280, 1
  282, 3
  284, 2
  286, 1
  288, 4
  290, 5
  292, 5
  294, 2
  296, 6
  298, 9
  300, 4
  302, 4
  304, 7
  306, 4
  308, 7
  310, 8
  312, 6
  314, 3
  316, 5
  318, 5
  320, 4
  324, 3
  326, 2
  328, 4
  330, 3
  332, 3
  334, 1
  336, 1
  342, 1
  344, 1
  348, 2
  352, 3
  354, 1
  356, 1
  358, 2
  360, 2
  364, 1
  366, 1
  368, 1
  370, 1
  372, 1
  374, 2
  376, 2
  378, 1
  382, 1
  384, 3
  386, 3
  388, 2
  392, 3
  394, 2
  402, 5
  404, 5
  406, 2
  408, 5
  412, 3
  414, 3
  416, 2
  418, 4
  420, 1
  422, 4
  424, 4
  428, 3
  430, 4
  432, 3
  434, 2
  436, 1
  438, 1
  440, 2
  442, 4
  446, 2
  448, 2
  450, 1
  452, 2
  454, 3
  456, 6
  458, 3
  460, 5
  462, 3
  464, 2
  466, 2
  468, 3
  470, 2
  472, 2
  474, 1
  478, 1
  480, 1
  482, 1
  484, 2
  486, 1
  488, 1
  494, 1
  496, 2
  498, 7
  500, 4
  502, 5
  504, 5
  506, 1
  508, 2
  512, 2
  514, 5
  516, 3
  518, 2
  520, 3
  522, 3
  524, 1
  528, 1
  534, 1
  536, 1
